"(1, 1, 'tot')","(2, 0, 'tot')","(3, 0, 'tot')","(3, 1, 'tot')","('A', 2)","('A', 3)","('B', 1)","('B', 3)","('C', 1)","('C', 3)",hour,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,dayofweek,is_holiday,timeofday
142.0,99.0,142.0,222.0,60.06,134.165,110.155,141.315,189.34,154.623333333,9,1012.72222222,12.5555555556,4.18888888889,25.0333333333,43.2222222222,0.0,1,0,9.33333333333
173.0,87.0,144.0,174.0,82.45,125.615,119.97,91.855,170.32,195.526666667,9,1012.84444444,14.1111111111,3.87777777778,24.6666666667,44.4444444444,0.0,1,0,9.66666666667
96.0,85.0,123.0,81.0,71.68,97.08,118.55,113.34,159.93,236.43,10,1012.96666667,15.6666666667,3.56666666667,24.3,45.6666666667,0.0,1,0,10.0
92.0,76.0,137.0,97.0,54.29,111.5,113.45,143.39,149.54,225.15,10,1013.08888889,17.2222222222,3.25555555556,23.9333333333,46.8888888889,0.0,1,0,10.3333333333
92.0,80.0,114.0,77.0,79.19,97.81,123.5,103.11,141.93,159.045,10,1013.21111111,18.7777777778,2.94444444444,23.5666666667,48.1111111111,0.0,1,0,10.6666666667
90.0,63.0,120.0,79.0,60.64,103.03,135.6,102.32,220.425,130.6875,11,1013.33333333,20.3333333333,2.63333333333,23.2,49.3333333333,0.0,1,0,11.0
98.0,46.0,102.0,82.0,78.335,110.68,138.555,86.83,298.92,102.33,11,1013.45555556,21.8888888889,2.32222222222,22.8333333333,50.5555555556,0.0,1,0,11.3333333333
87.0,55.0,111.0,83.0,66.98,122.505,122.74,108.77,143.73,148.375,11,1013.57777778,23.4444444444,2.01111111111,22.4666666667,51.7777777778,0.0,1,0,11.6666666667
86.0,73.0,101.0,109.0,65.48,122.885,133.59,134.52,169.595,194.42,12,1013.7,25.0,1.7,22.1,53.0,0.0,1,0,12.0
82.0,88.0,122.0,78.0,77.855,95.805,155.9,104.73,195.46,154.59,12,1013.73333333,58.4444444444,1.75555555556,21.9222222222,54.3333333333,0.0,1,0,12.3333333333
70.0,80.0,133.0,92.0,65.26,106.37,136.61,113.345,228.73,137.64,12,1013.76666667,91.8888888889,1.81111111111,21.7444444444,55.6666666667,0.0,1,0,12.6666666667
99.0,75.0,130.0,94.0,68.89,107.36,106.88,132.32,183.385,199.24,13,1013.8,125.333333333,1.86666666667,21.5666666667,57.0,0.0,1,0,13.0
95.0,96.0,143.0,88.0,74.82,97.86,145.875,141.97,164.53,214.76,13,1013.83333333,158.777777778,1.92222222222,21.3888888889,58.3333333333,0.0,1,0,13.3333333333
103.0,69.0,136.0,99.0,52.73,96.83,135.95,107.06,157.7,167.08,13,1013.86666667,192.222222222,1.97777777778,21.2111111111,59.6666666667,0.0,1,0,13.6666666667
105.0,81.0,131.0,99.0,59.07,138.7,152.105,147.49,189.73,207.79,14,1013.9,225.666666667,2.03333333333,21.0333333333,61.0,0.0,1,0,14.0
94.0,72.0,141.0,81.0,52.255,99.96,145.21,191.91,189.4,164.035,14,1013.93333333,259.111111111,2.08888888889,20.8555555556,62.3333333333,0.0,1,0,14.3333333333
99.0,70.0,122.0,89.0,84.525,96.13,139.94,84.75,211.67,116.5,14,1013.96666667,292.555555556,2.14444444444,20.6777777778,63.6666666667,0.0,1,0,14.6666666667
78.0,62.0,124.0,80.0,52.32,120.475,124.25,112.87,119.71,114.645,15,1014.0,326.0,2.2,20.5,65.0,0.0,1,0,15.0
79.0,69.0,132.0,73.0,60.85,99.525,131.395,118.5,144.36,159.06,15,1013.97777778,326.111111111,2.11111111111,20.3777777778,66.0,0.0,1,0,15.3333333333
71.0,69.0,131.0,87.0,50.56,100.79,138.5,103.79,169.01,116.29,15,1013.95555556,326.222222222,2.02222222222,20.2555555556,67.0,0.0,1,0,15.6666666667
95.0,82.0,122.0,85.0,72.33,107.05,120.76,147.69,160.8475,153.67,16,1013.93333333,326.333333333,1.93333333333,20.1333333333,68.0,0.0,1,0,16.0
96.0,76.0,113.0,97.0,87.9,85.19,118.42,73.4,152.685,164.5375,16,1013.91111111,326.444444444,1.84444444444,20.0111111111,69.0,0.0,1,0,16.3333333333
95.0,64.0,122.0,96.0,61.875,101.24,138.59,99.62,189.755,175.405,16,1013.88888889,326.555555556,1.75555555556,19.8888888889,70.0,0.0,1,0,16.6666666667
111.0,82.0,126.0,84.0,60.32,114.575,122.19,99.82,167.3575,196.545,17,1013.86666667,326.666666667,1.66666666667,19.7666666667,71.0,0.0,1,0,17.0
110.0,86.0,116.0,86.0,55.275,109.09,105.22,112.3,144.96,184.915,17,1013.84444444,326.777777778,1.57777777778,19.6444444444,72.0,0.0,1,0,17.3333333333
133.0,85.0,95.0,106.0,58.81,97.67,116.77,93.285,225.21,173.285,17,1013.82222222,326.888888889,1.48888888889,19.5222222222,73.0,0.0,1,0,17.6666666667
78.0,77.0,81.0,90.0,66.22,122.21,133.635,84.745,281.58,161.655,18,1013.8,327.0,1.4,19.4,74.0,0.0,1,0,18.0
60.0,60.0,100.0,84.0,64.13,154.37,353.1,76.205,337.95,152.748333333,18,1013.83333333,327.333333333,1.35555555556,19.3111111111,74.6666666667,0.0,1,0,18.3333333333
53.0,56.0,63.0,88.0,60.01,93.395,243.125,115.28,336.16,143.841666667,18,1013.86666667,327.666666667,1.31111111111,19.2222222222,75.3333333333,0.0,1,0,18.6666666667
44.0,61.0,59.0,53.0,51.82,94.175,133.15,57.935,210.12,134.935,19,1013.9,328.0,1.26666666667,19.1333333333,76.0,0.0,1,0,19.0
52.0,27.0,52.0,52.0,42.05,109.4,136.8,98.14,174.35,172.26,19,1013.93333333,328.333333333,1.22222222222,19.0444444444,76.6666666667,0.0,1,0,19.3333333333
49.0,40.0,48.0,50.0,74.705,125.44,162.77,60.84,147.4,156.815,19,1013.96666667,328.666666667,1.17777777778,18.9555555556,77.3333333333,0.0,1,0,19.6666666667
34.0,35.0,62.0,62.0,54.28,93.945,96.365,121.09,241.4,141.37,20,1014.0,329.0,1.13333333333,18.8666666667,78.0,0.0,1,0,20.0
42.0,31.0,55.0,48.0,57.85,107.89,100.36,111.16,161.005,175.785,20,1014.03333333,329.333333333,1.08888888889,18.7777777778,78.6666666667,0.0,1,0,20.3333333333
37.0,30.0,45.0,49.0,54.695,120.625,104.355,76.5,143.02,190.36,20,1014.06666667,329.666666667,1.04444444444,18.6888888889,79.3333333333,0.0,1,0,20.6666666667
41.0,27.0,47.0,29.0,92.97,96.66,108.35,90.16,170.483333333,148.94,21,1014.1,330.0,1.0,18.6,80.0,0.0,1,0,21.0
42.0,21.0,38.0,44.0,59.895,131.195,107.97,123.185,197.946666667,170.58,21,1014.25555556,317.666666667,0.966666666667,18.9444444444,78.7777777778,0.0,1,0,21.3333333333
39.0,5.0,32.0,38.0,44.53,110.28,103.04,96.385,225.41,274.3,21,1014.41111111,305.333333333,0.933333333333,19.2888888889,77.5555555556,0.0,1,0,21.6666666667
32.0,5.0,27.0,23.0,39.325,105.35,98.11,103.53,150.27,250.65,22,1014.56666667,293.0,0.9,19.6333333333,76.3333333333,0.0,1,0,22.0
30.0,6.0,22.0,33.0,44.59,100.42,103.99,105.25,152.955,227.0,22,1014.72222222,280.666666667,0.866666666667,19.9777777778,75.1111111111,0.0,1,0,22.3333333333
24.0,0.0,29.0,34.0,43.72,102.38,109.87,103.47,155.64,203.35,22,1014.87777778,268.333333333,0.833333333333,20.3222222222,73.8888888889,0.0,1,0,22.6666666667
12.0,5.0,13.0,10.0,65.95,126.475,107.285,61.86,186.02,179.7,23,1015.03333333,256.0,0.8,20.6666666667,72.6666666667,0.0,1,0,23.0
22.0,7.0,27.0,20.0,52.74,150.57,104.7,106.94,181.333333333,143.59,23,1015.18888889,243.666666667,0.766666666667,21.0111111111,71.4444444444,0.0,1,0,23.3333333333
14.0,5.0,23.0,13.0,45.91,107.38,108.07,77.465,176.646666667,143.471578947,23,1015.34444444,231.333333333,0.733333333333,21.3555555556,70.2222222222,0.0,1,0,23.6666666667
97.0,2.0,19.0,124.0,57.155,114.493333333,111.44,215.275,171.96,143.353157895,0,1015.5,219.0,0.7,21.7,69.0,0.0,2,0,0.0
64.0,2.0,17.0,116.0,38.545,121.606666667,114.81,28.24,173.04,143.234736842,0,1015.48888889,196.555555556,0.888888888889,22.0888888889,67.8888888889,0.0,2,0,0.333333333333
41.0,2.0,13.0,54.0,32.3,128.72,118.18,49.355,174.12,143.116315789,0,1015.47777778,174.111111111,1.07777777778,22.4777777778,66.7777777778,0.0,2,0,0.666666666667
9.0,0.0,17.0,7.0,102.17,77.16,117.348888889,70.47,175.2,142.997894737,1,1015.46666667,151.666666667,1.26666666667,22.8666666667,65.6666666667,0.0,2,0,1.0
8.0,1.0,16.0,5.0,72.845,75.46,116.517777778,81.22,176.28,142.879473684,1,1015.45555556,129.222222222,1.45555555556,23.2555555556,64.5555555556,0.0,2,0,1.33333333333
13.0,1.0,17.0,7.0,43.52,67.16,115.686666667,91.97,177.36,142.761052632,1,1015.44444444,106.777777778,1.64444444444,23.6444444444,63.4444444444,0.0,2,0,1.66666666667
10.0,0.0,9.0,7.0,46.13,52.9766666667,114.855555556,102.72,178.44,142.642631579,2,1015.43333333,84.3333333333,1.83333333333,24.0333333333,62.3333333333,0.0,2,0,2.0
7.0,0.0,12.0,7.0,53.155,38.7933333333,114.024444444,113.47,179.52,142.524210526,2,1015.42222222,61.8888888889,2.02222222222,24.4222222222,61.2222222222,0.0,2,0,2.33333333333
10.0,0.0,13.0,3.0,40.005,24.61,113.193333333,124.22,180.6,142.405789474,2,1015.41111111,39.4444444444,2.21111111111,24.8111111111,60.1111111111,0.0,2,0,2.66666666667
12.0,0.0,14.0,4.0,52.12,129.58,112.362222222,120.274444444,186.128888889,142.287368421,3,1015.4,17.0,2.4,25.2,59.0,0.0,2,0,3.0
15.0,0.0,10.0,3.0,40.48,95.21,111.531111111,116.328888889,191.657777778,142.168947368,3,1015.14444444,51.5555555556,2.46666666667,25.3111111111,58.6666666667,0.0,2,0,3.33333333333
19.0,0.0,11.0,6.0,38.0,88.55,110.7,112.383333333,197.186666667,142.050526316,3,1014.88888889,86.1111111111,2.53333333333,25.4222222222,58.3333333333,0.0,2,0,3.66666666667
18.0,0.0,14.0,3.0,67.5,236.3,101.809,108.437777778,202.715555556,141.932105263,4,1014.63333333,120.666666667,2.6,25.5333333333,58.0,0.0,2,0,4.0
18.0,0.0,12.0,3.0,26.08,150.89,92.918,104.492222222,208.244444444,141.813684211,4,1014.37777778,155.222222222,2.66666666667,25.6444444444,57.6666666667,0.0,2,0,4.33333333333
18.0,0.0,15.0,5.0,50.97,65.48,84.027,100.546666667,213.773333333,141.695263158,4,1014.12222222,189.777777778,2.73333333333,25.7555555556,57.3333333333,0.0,2,0,4.66666666667
31.0,1.0,16.0,6.0,40.35,101.82,75.136,96.6011111111,219.302222222,141.576842105,5,1013.86666667,224.333333333,2.8,25.8666666667,57.0,0.0,2,0,5.0
28.0,5.0,16.0,11.0,44.37,104.12,66.245,92.6555555556,224.831111111,141.458421053,5,1013.61111111,258.888888889,2.86666666667,25.9777777778,56.6666666667,0.0,2,0,5.33333333333
30.0,6.0,25.0,11.0,47.4,91.78,95.69,88.71,230.36,141.34,5,1013.35555556,293.444444444,2.93333333333,26.0888888889,56.3333333333,0.0,2,0,5.66666666667
36.0,6.0,32.0,20.0,58.995,121.07,100.958333333,120.96,184.4325,222.375,6,1013.1,328.0,3.0,26.2,56.0,0.0,2,0,6.0
50.0,9.0,47.0,42.0,56.26,130.89,106.226666667,78.29,138.505,303.41,6,1013.11111111,330.222222222,2.83333333333,26.0555555556,57.2222222222,0.0,2,0,6.33333333333
71.0,14.0,85.0,37.0,48.44,92.025,111.495,93.335,152.22,192.225,6,1013.12222222,332.444444444,2.66666666667,25.9111111111,58.4444444444,0.0,2,0,6.66666666667
77.0,42.0,116.0,66.0,54.52,98.27,112.665,108.38,178.15,81.04,7,1013.13333333,334.666666667,2.5,25.7666666667,59.6666666667,0.0,2,0,7.0
94.0,37.0,133.0,92.0,65.28,116.47,113.835,52.75,160.06,103.865,7,1013.14444444,336.888888889,2.33333333333,25.6222222222,60.8888888889,0.0,2,0,7.33333333333
99.0,44.0,151.0,89.0,54.175,148.55,108.52,98.795,191.38,126.69,7,1013.15555556,339.111111111,2.16666666667,25.4777777778,62.1111111111,0.0,2,0,7.66666666667
100.0,37.0,135.0,126.0,57.14,126.72,103.205,151.005,192.36,112.29,8,1013.16666667,341.333333333,2.0,25.3333333333,63.3333333333,0.0,2,0,8.0
105.0,30.0,163.0,122.0,63.905,101.3,97.89,161.46,152.485,314.07,8,1013.17777778,343.555555556,1.83333333333,25.1888888889,64.5555555556,0.0,2,0,8.33333333333
119.0,66.0,120.0,149.0,54.885,109.59,96.18,169.72,178.86,437.68,8,1013.18888889,345.777777778,1.66666666667,25.0444444444,65.7777777778,0.0,2,0,8.66666666667
137.0,104.0,139.0,131.0,112.83,293.63,95.845,234.715,124.35,255.13,9,1013.2,348.0,1.5,24.9,67.0,0.0,2,0,9.0
132.0,100.0,120.0,83.0,57.21,238.35,95.51,144.21,157.705,222.93375,9,1013.3,344.888888889,1.6,24.5,69.6666666667,0.0555555555556,2,0,9.33333333333
122.0,80.0,130.0,78.0,89.42,109.67,158.7,91.24,163.28,190.7375,9,1013.4,341.777777778,1.7,24.1,72.3333333333,0.111111111111,2,0,9.66666666667
96.0,72.0,114.0,71.0,56.6,102.635,126.265,116.93,110.86,158.54125,10,1013.5,338.666666667,1.8,23.7,75.0,0.166666666667,2,0,10.0
98.0,67.0,115.0,87.0,55.96,113.83,313.195,107.905,129.315,126.345,10,1013.6,335.555555556,1.9,23.3,77.6666666667,0.222222222222,2,0,10.3333333333
89.0,74.0,118.0,80.0,70.04,77.23,153.375,159.295,147.77,181.02,10,1013.7,332.444444444,2.0,22.9,80.3333333333,0.277777777778,2,0,10.6666666667
77.0,45.0,76.0,70.0,56.725,103.84,104.145,102.31,212.87,114.2,11,1013.8,329.333333333,2.1,22.5,83.0,0.333333333333,2,0,11.0
79.0,58.0,101.0,72.0,49.835,89.665,115.485,92.91,147.19,123.22,11,1013.9,326.222222222,2.2,22.1,85.6666666667,0.388888888889,2,0,11.3333333333
78.0,50.0,97.0,82.0,60.7,108.505,151.705,107.94,178.36,180.3,11,1014.0,323.111111111,2.3,21.7,88.3333333333,0.444444444444,2,0,11.6666666667
84.0,63.0,68.0,88.0,57.51,102.77,90.31,124.43,167.34,161.755,12,1014.1,320.0,2.4,21.3,91.0,0.5,2,0,12.0
96.0,42.0,79.0,85.0,47.79,107.58,93.23,105.395,163.385,143.21,12,1014.1,318.888888889,2.24444444444,21.2444444444,91.2222222222,0.444444444444,2,0,12.3333333333
90.0,55.0,110.0,102.0,79.04,93.345,93.48,98.5,159.43,126.47,12,1014.1,317.777777778,2.08888888889,21.1888888889,91.4444444444,0.388888888889,2,0,12.6666666667
87.0,82.0,99.0,100.0,69.7,120.74,87.42,127.38,149.81,166.745,13,1014.1,316.666666667,1.93333333333,21.1333333333,91.6666666667,0.333333333333,2,0,13.0
87.0,72.0,113.0,108.0,59.28,98.84,145.045,123.9,140.53,186.99,13,1014.1,315.555555556,1.77777777778,21.0777777778,91.8888888889,0.277777777778,2,0,13.3333333333
105.0,62.0,95.0,99.0,50.97,91.95,93.25,95.6,140.94,129.8,13,1014.1,314.444444444,1.62222222222,21.0222222222,92.1111111111,0.222222222222,2,0,13.6666666667
104.0,78.0,108.0,74.0,63.685,99.91,134.57,125.39,144.57,177.58,14,1014.1,313.333333333,1.46666666667,20.9666666667,92.3333333333,0.166666666667,2,0,14.0
93.0,79.0,93.0,98.0,50.79,104.23,138.72,116.09,129.885,178.16,14,1014.1,312.222222222,1.31111111111,20.9111111111,92.5555555556,0.111111111111,2,0,14.3333333333
103.0,66.0,102.0,100.0,65.9,105.51,97.12,119.9,140.68,193.065,14,1014.1,311.111111111,1.15555555556,20.8555555556,92.7777777778,0.0555555555556,2,0,14.6666666667
98.0,63.0,113.0,98.0,49.07,85.11,126.77,98.98,139.85,219.1,15,1014.1,310.0,1.0,20.8,93.0,0.0,2,0,15.0
96.0,81.0,114.0,108.0,91.71,105.395,140.8,110.37,192.64,294.555,15,1013.98888889,313.444444444,1.07777777778,20.7333333333,93.1111111111,0.0,2,0,15.3333333333
90.0,77.0,89.0,99.0,70.315,109.87,105.66,92.205,214.75,127.07,15,1013.87777778,316.888888889,1.15555555556,20.6666666667,93.2222222222,0.0,2,0,15.6666666667
105.0,66.0,109.0,87.0,83.98,101.19,75.885,117.21,141.795,169.38,16,1013.76666667,320.333333333,1.23333333333,20.6,93.3333333333,0.0,2,0,16.0
97.0,81.0,118.0,88.0,67.11,114.53,46.11,97.69,182.65,157.76,16,1013.65555556,323.777777778,1.31111111111,20.5333333333,93.4444444444,0.0,2,0,16.3333333333
98.0,99.0,124.0,100.0,78.81,103.665,116.925,108.13,175.63,239.33,16,1013.54444444,327.222222222,1.38888888889,20.4666666667,93.5555555556,0.0,2,0,16.6666666667
94.0,88.0,118.0,77.0,63.355,117.67,124.903333333,67.2,237.81,241.3,17,1013.43333333,330.666666667,1.46666666667,20.4,93.6666666667,0.0,2,0,17.0
109.0,77.0,116.0,94.0,53.2,90.34,132.881666667,93.21,205.02,133.25,17,1013.32222222,334.111111111,1.54444444444,20.3333333333,93.7777777778,0.0,2,0,17.3333333333
94.0,83.0,100.0,95.0,80.35,103.87,140.86,92.06,204.946666667,173.89,17,1013.21111111,337.555555556,1.62222222222,20.2666666667,93.8888888889,0.0,2,0,17.6666666667
74.0,58.0,90.0,67.0,71.385,109.535,130.065,109.185,204.873333333,164.54,18,1013.1,341.0,1.7,20.2,94.0,0.0,2,0,18.0
85.0,72.0,72.0,75.0,56.27,109.095,135.5525,68.14,204.8,131.76,18,1013.07777778,338.666666667,1.68888888889,20.1222222222,94.2222222222,0.0,2,0,18.3333333333
78.0,49.0,52.0,68.0,57.56,107.31,141.04,128.4,204.726666667,188.63,18,1013.05555556,336.333333333,1.67777777778,20.0444444444,94.4444444444,0.0,2,0,18.6666666667
46.0,47.0,64.0,60.0,54.255,108.53,109.775,96.71,204.653333333,115.84,19,1013.03333333,334.0,1.66666666667,19.9666666667,94.6666666667,0.0,2,0,19.0
40.0,35.0,48.0,52.0,61.97,119.46,96.68,97.14,204.58,116.59,19,1013.01111111,331.666666667,1.65555555556,19.8888888889,94.8888888889,0.0,2,0,19.3333333333
49.0,38.0,65.0,39.0,59.42,123.74,88.06,91.92,151.53,117.34,19,1012.98888889,329.333333333,1.64444444444,19.8111111111,95.1111111111,0.0,2,0,19.6666666667
43.0,38.0,42.0,49.0,76.18,120.675,114.48,130.76,166.19,118.09,20,1012.96666667,327.0,1.63333333333,19.7333333333,95.3333333333,0.0,2,0,20.0
47.0,18.0,40.0,40.0,51.685,117.61,140.9,101.67,164.51,118.84,20,1012.94444444,324.666666667,1.62222222222,19.6555555556,95.5555555556,0.0,2,0,20.3333333333
26.0,24.0,42.0,35.0,47.88,95.405,121.23,109.45,158.355,119.59,20,1012.92222222,322.333333333,1.61111111111,19.5777777778,95.7777777778,0.0,2,0,20.6666666667
29.0,27.0,42.0,41.0,50.89,104.75,123.2,45.585,200.6,162.705,21,1012.9,320.0,1.6,19.5,96.0,0.0,2,0,21.0
33.0,32.0,43.0,46.0,59.32,102.02,125.17,86.97,211.933333333,155.2,21,1013.01111111,315.666666667,1.58888888889,19.6333333333,95.4444444444,0.0,2,0,21.3333333333
28.0,26.0,35.0,30.0,50.55,97.2,50.81,75.92,223.266666667,164.663333333,21,1013.12222222,311.333333333,1.57777777778,19.7666666667,94.8888888889,0.0,2,0,21.6666666667
26.0,24.0,24.0,20.0,46.855,104.125,96.0175,69.18,234.6,174.126666667,22,1013.23333333,307.0,1.56666666667,19.9,94.3333333333,0.0,2,0,22.0
23.0,21.0,33.0,15.0,84.295,88.26,141.225,62.44,160.035,183.59,22,1013.34444444,302.666666667,1.55555555556,20.0333333333,93.7777777778,0.0,2,0,22.3333333333
25.0,16.0,17.0,20.0,38.56,101.15,66.05,62.96,183.995,138.28,22,1013.45555556,298.333333333,1.54444444444,20.1666666667,93.2222222222,0.0,2,0,22.6666666667
13.0,7.0,23.0,21.0,57.785,80.825,80.815,178.51,218.685,136.6,23,1013.56666667,294.0,1.53333333333,20.3,92.6666666667,0.0,2,0,23.0
21.0,1.0,24.0,19.0,77.01,134.055,95.58,86.62,174.0725,134.92,23,1013.67777778,289.666666667,1.52222222222,20.4333333333,92.1111111111,0.0,2,0,23.3333333333
14.0,1.0,18.0,10.0,49.85,127.77,97.97,96.982,129.46,166.68,23,1013.78888889,285.333333333,1.51111111111,20.5666666667,91.5555555556,0.0,2,0,23.6666666667
110.0,1.0,11.0,142.0,73.1,101.555,97.6644444444,107.344,124.91,161.56,0,1013.9,281.0,1.5,20.7,91.0,0.0,3,0,0.0
74.0,1.0,13.0,106.0,50.52,75.34,97.3588888889,117.706,154.32,156.44,0,1013.8,270.555555556,1.61111111111,21.3333333333,87.7777777778,0.0,3,0,0.333333333333
49.0,0.0,12.0,72.0,37.02,125.88,97.0533333333,128.068,183.73,158.562352941,0,1013.7,260.111111111,1.72222222222,21.9666666667,84.5555555556,0.0,3,0,0.666666666667
6.0,0.0,16.0,5.0,55.72,125.825,96.7477777778,138.43,178.585,160.684705882,1,1013.6,249.666666667,1.83333333333,22.6,81.3333333333,0.0,3,0,1.0
9.0,0.0,10.0,8.0,53.56,125.77,96.4422222222,58.24,173.44,162.807058824,1,1013.5,239.222222222,1.94444444444,23.2333333333,78.1111111111,0.0,3,0,1.33333333333
10.0,0.0,13.0,5.0,51.4,125.715,96.1366666667,96.685,168.295,164.929411765,1,1013.4,228.777777778,2.05555555556,23.8666666667,74.8888888889,0.0,3,0,1.66666666667
11.0,0.0,15.0,5.0,66.6,125.66,95.8311111111,135.13,163.15,167.051764706,2,1013.3,218.333333333,2.16666666667,24.5,71.6666666667,0.0,3,0,2.0
8.0,0.0,8.0,5.0,52.32,125.605,95.5255555556,123.47375,158.005,169.174117647,2,1013.2,207.888888889,2.27777777778,25.1333333333,68.4444444444,0.0,3,0,2.33333333333
4.0,0.0,12.0,6.0,46.8233333333,125.55,95.22,111.8175,152.86,171.296470588,2,1013.1,197.444444444,2.38888888889,25.7666666667,65.2222222222,0.0,3,0,2.66666666667
